TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.2G0638300	BdiBd21-3.2G0192800	Cluster_0	403	111	0.14158042965855278
BdiBd21-3.2G0638300	BdiBd21-3.2G0128800	Cluster_0	403	111	0.13853829952594207
BdiBd21-3.2G0638300	BdiBd21-3.1G0039200	Cluster_0	403	111	0.13457615107859008
BdiBd21-3.2G0638300	BdiBd21-3.2G0005500	Cluster_0	403	111	0.1329343355749851
BdiBd21-3.2G0638300	BdiBd21-3.3G0121300	Cluster_0	403	111	0.12954426941617805
BdiBd21-3.2G0638300	BdiBd21-3.1G0097400	Cluster_0	403	111	0.12916867970892806
BdiBd21-3.2G0638300	BdiBd21-3.3G0065900	Cluster_0	403	111	0.12746778422862706
BdiBd21-3.2G0638300	BdiBd21-3.2G0284800	Cluster_0	403	111	0.12728713796888985
BdiBd21-3.2G0638300	BdiBd21-3.1G0239900	Cluster_0	403	111	0.12412366660980625
BdiBd21-3.2G0638300	BdiBd21-3.2G0250700	Cluster_0	403	111	0.1237652853143423
BdiBd21-3.2G0638300	BdiBd21-3.1G0282500	Cluster_0	403	111	0.1237127606556822
BdiBd21-3.2G0638300	BdiBd21-3.2G0163800	Cluster_0	403	111	0.122994342724759
BdiBd21-3.2G0638300	BdiBd21-3.1G0260400	Cluster_0	403	111	0.11964330649839665
BdiBd21-3.2G0638300	BdiBd21-3.2G0188400	Cluster_0	403	111	0.11954159352385102
BdiBd21-3.2G0638300	BdiBd21-3.3G0073500	Cluster_0	403	111	0.11837843372876275
BdiBd21-3.2G0638300	BdiBd21-3.3G0116900	Cluster_0	403	111	0.11796916777967277
BdiBd21-3.2G0638300	BdiBd21-3.2G0222600	Cluster_0	403	111	0.1168109293335384
BdiBd21-3.2G0638300	BdiBd21-3.2G0238901	Cluster_0	403	111	0.11485069605151987
BdiBd21-3.2G0638300	BdiBd21-3.1G0241200	Cluster_0	403	111	0.11237762056329996
BdiBd21-3.2G0638300	BdiBd21-3.2G0096100	Cluster_0	403	111	0.11206946414411298
BdiBd21-3.2G0638300	BdiBd21-3.1G0098000	Cluster_0	403	111	0.10821064755407588
