	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	DividingGMCs-2	EarlyGCs-3	EarlyGMCs-1	Intercells-7	LateGCs-4	SCs-6	SMCs-5	Stage0to2-0
BdiBd21-3.1G0115800	1	1	1	1	11.4	6.1	6.8	0.8	2.8	2.1	2.0	17.4
BdiBd21-3.1G0121100	1	1	0	0	0.0	0.0	0.3	0.0	1.2	0.2	0.0	0.0
BdiBd21-3.1G0124800	1	1	1	0	2.7	2.4	1.7	0.0	0.0	0.0	0.3	4.4
BdiBd21-3.1G0125100	1	1	1	1	1.6	0.6	1.4	0.5	0.0	1.6	2.1	15.4
BdiBd21-3.1G0129900	1	1	1	0	0.0	0.0	0.6	0.2	0.0	0.0	0.1	0.6
BdiBd21-3.1G0130600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0131000	1	1	0	0	0.4	0.0	0.0	0.0	0.8	0.3	0.2	0.0
BdiBd21-3.1G0134000	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.5	0.4	2.4
BdiBd21-3.1G0134600	1	1	1	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
BdiBd21-3.1G0135700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
BdiBd21-3.1G0137000	1	1	1	1	14.5	13.6	15.3	53.2	18.2	17.6	27.2	35.6
BdiBd21-3.1G0138700	1	1	0	0	5.5	0.8	0.3	0.0	0.0	0.3	0.3	4.6
BdiBd21-3.1G0140200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0142000	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	1.0
BdiBd21-3.1G0147900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0148400	1	1	0	0	0.0	1.8	0.0	0.2	1.2	0.2	0.8	7.1
BdiBd21-3.1G0149700	1	1	0	0	1.2	2.2	0.8	0.1	0.8	0.8	0.1	1.2
BdiBd21-3.1G0151100	1	1	0	0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0156700	1	1	1	0	3.1	1.4	1.7	0.2	0.8	0.9	0.4	3.4
BdiBd21-3.1G0157200	1	1	0	0	0.8	0.4	1.7	0.7	1.2	1.7	0.9	3.0
BdiBd21-3.1G0164700	1	1	1	0	3.1	1.0	1.4	0.2	0.0	0.8	0.1	3.6
