	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	DividingGMCs-2	EarlyGCs-3	EarlyGMCs-1	Intercells-7	LateGCs-4	SCs-6	SMCs-5	Stage0to2-0
BdiBd21-3.1G0489700	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0490000	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.2	0.0	0.6
BdiBd21-3.1G0490500	1	1	0	0	2.0	0.0	0.0	0.1	0.4	0.0	0.0	0.2
BdiBd21-3.1G0494800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0495500	1	1	0	0	0.8	0.2	0.0	0.0	10.9	1.6	0.0	0.0
BdiBd21-3.1G0497100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0497500	1	1	0	0	0.4	0.2	0.8	0.1	0.0	0.0	0.3	0.2
BdiBd21-3.1G0507400	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0
BdiBd21-3.1G0508100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0511100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0512700	1	1	0	0	0.8	0.2	0.0	0.0	2.4	0.0	0.0	0.2
BdiBd21-3.1G0514600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0517300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0518100	1	1	1	0	0.8	2.9	2.5	0.1	2.4	1.6	0.6	4.0
BdiBd21-3.1G0518700	1	1	1	0	2.7	2.9	1.1	0.2	0.8	1.9	0.4	4.2
BdiBd21-3.1G0519600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0523000	1	1	1	0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.4
BdiBd21-3.1G0523400	1	1	1	0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0524700	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0530200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0532500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0533800	1	1	0	0	0.0	0.4	0.0	0.0	0.4	0.0	0.0	0.0
BdiBd21-3.1G0535700	1	1	1	0	0.0	0.2	0.3	0.2	0.0	0.0	0.0	0.0
BdiBd21-3.1G0539800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0540400	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0543600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
BdiBd21-3.1G0544800	1	1	0	0	5.5	2.9	3.4	0.0	3.2	0.8	0.6	12.9
BdiBd21-3.1G0549400	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0554100	1	1	1	0	0.4	0.4	0.0	0.0	0.0	0.2	0.1	1.0
BdiBd21-3.1G0557000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0561000	1	1	0	0	0.4	0.4	0.6	0.0	0.4	0.5	0.0	1.2
BdiBd21-3.1G0564900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0565400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0565500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0567500	1	1	1	0	2.4	1.0	0.6	0.2	0.0	0.2	0.4	7.5
BdiBd21-3.1G0567600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0568300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0570300	1	1	1	1	0.4	0.6	1.1	0.1	0.0	0.3	0.5	10.7
BdiBd21-3.1G0571300	1	1	0	0	0.4	0.0	0.0	0.0	0.0	0.0	0.2	0.2
BdiBd21-3.1G0573000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0574900	1	1	0	0	3.1	0.6	0.0	0.0	0.4	0.0	0.0	0.0
BdiBd21-3.1G0577200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0578500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0581100	1	1	1	1	20.4	0.0	1.4	0.0	0.0	0.2	0.3	5.5
BdiBd21-3.1G0590700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0591800	1	1	1	0	0.0	0.6	0.6	0.0	0.0	0.0	0.1	3.6
BdiBd21-3.1G0592300	1	1	1	1	3.5	0.6	0.8	0.4	0.4	3.0	0.5	11.1
BdiBd21-3.1G0595300	1	1	0	0	0.8	0.6	0.0	0.0	0.0	0.5	0.1	0.0
BdiBd21-3.1G0595800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0596000	1	1	1	0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	2.8
BdiBd21-3.1G0600000	1	1	1	1	3.5	0.8	2.5	0.1	1.2	0.8	0.5	11.5
BdiBd21-3.1G0603600	1	1	1	0	0.4	1.8	0.0	0.0	0.0	0.5	0.1	3.2
BdiBd21-3.1G0604000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0604300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0604500	1	1	1	0	0.4	0.2	0.0	0.0	0.4	0.5	0.0	4.8
BdiBd21-3.1G0605000	1	1	0	0	25.9	7.9	7.6	1.1	0.4	6.3	3.6	27.3
BdiBd21-3.1G0605900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0606600	1	1	1	1	2.7	1.0	2.0	0.3	0.4	0.6	1.5	23.4
BdiBd21-3.1G0609500	1	1	0	0	2.0	0.0	0.8	0.0	0.0	0.0	0.0	2.0
BdiBd21-3.1G0612400	1	1	1	0	3.1	0.4	1.1	1.2	0.0	0.0	0.6	2.6
BdiBd21-3.1G0613600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0613800	1	1	1	1	22.7	27.9	29.7	3.9	17.4	14.9	9.0	46.3
BdiBd21-3.1G0614000	1	1	1	1	6.7	6.3	5.6	1.1	3.2	4.9	3.4	16.8
BdiBd21-3.1G0622000	1	1	1	0	0.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0622700	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	1.6
BdiBd21-3.1G0623300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0623500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4
BdiBd21-3.1G0626300	1	1	1	0	2.0	0.2	0.6	0.0	0.0	0.3	0.2	2.6
BdiBd21-3.1G0629200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0632300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0634000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0638900	1	1	1	1	31.0	22.0	15.0	3.1	6.5	12.0	3.5	30.5
BdiBd21-3.1G0639000	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.6
BdiBd21-3.1G0639200	1	1	0	0	0.0	0.6	0.0	0.1	0.0	0.2	0.1	0.8
BdiBd21-3.1G0639700	1	1	1	0	0.8	0.4	0.0	0.0	0.0	0.0	0.1	0.2
BdiBd21-3.1G0641200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0641300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0642300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0643000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0643900	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0644800	1	1	1	0	0.0	0.0	0.0	0.4	0.0	0.0	0.1	0.8
BdiBd21-3.1G0652900	1	1	0	0	2.4	5.3	2.5	0.6	4.0	0.9	1.6	8.9
BdiBd21-3.1G0656800	1	1	1	1	28.2	21.0	13.6	2.0	4.5	7.9	7.7	33.1
BdiBd21-3.1G0656900	1	1	1	1	7.8	5.1	4.8	0.3	0.8	1.6	0.8	13.1
BdiBd21-3.1G0657800	1	1	0	0	18.4	11.0	3.7	0.2	0.0	0.2	1.7	37.0
BdiBd21-3.1G0662900	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6
BdiBd21-3.1G0663900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0666200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0666500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0671300	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	2.2
BdiBd21-3.1G0677500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0677600	1	1	0	0	2.4	0.8	0.8	0.2	0.4	1.1	1.3	3.8
BdiBd21-3.1G0677700	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0680700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0680900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0688800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0689300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0691600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0691800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0692100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0694300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0694800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0696100	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0697800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0697900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0712300	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2
BdiBd21-3.1G0714100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0714200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0714400	1	1	1	1	43.9	48.5	48.6	16.5	22.3	34.5	33.2	64.6
BdiBd21-3.1G0718100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0718900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0719800	1	1	1	1	11.0	6.5	4.8	0.3	0.0	1.6	0.3	7.3
BdiBd21-3.1G0723200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0727000	1	1	1	0	1.2	1.8	0.8	0.3	1.2	5.4	0.3	5.1
BdiBd21-3.1G0731400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0731500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0736700	1	1	1	0	1.6	0.6	0.8	0.0	0.0	0.0	0.2	1.8
BdiBd21-3.1G0736900	0	0	0	0								
BdiBd21-3.1G0740300	1	1	1	0	0.8	0.0	0.3	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0741600	1	1	1	1	66.7	35.8	31.6	1.2	11.7	9.2	7.0	20.2
BdiBd21-3.1G0762600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0763300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0763600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0770300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0770500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0772300	1	1	0	0	0.0	0.0	0.3	0.1	0.0	0.2	0.1	0.0
BdiBd21-3.1G0773000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0778000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0778100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0780100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0780400	1	1	1	0	1.2	0.4	0.6	0.4	0.0	0.5	1.1	3.6
BdiBd21-3.1G0780600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0782600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0785900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0792600	1	1	1	0	0.4	0.0	0.0	0.1	0.4	0.0	0.0	0.2
BdiBd21-3.1G0799400	1	1	0	0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0
BdiBd21-3.1G0800600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0807300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0811500	1	1	0	0	0.0	0.2	0.3	0.2	0.0	0.3	0.0	0.0
BdiBd21-3.1G0812600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0813200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0818900	1	1	0	0	2.4	0.0	0.0	0.0	0.0	0.0	0.1	0.4
BdiBd21-3.1G0823500	1	1	1	1	21.2	32.6	43.2	13.7	21.1	23.6	19.5	43.6
BdiBd21-3.1G0827300	1	1	1	1	7.1	13.2	2.0	0.6	4.5	2.4	0.6	8.5
BdiBd21-3.1G0827800	1	1	1	0	0.8	0.6	0.3	0.3	0.0	3.0	0.6	3.6
BdiBd21-3.1G0831300	1	1	0	0	0.0	0.0	0.0	0.0	10.9	0.0	0.0	0.0
BdiBd21-3.1G0832400	1	1	0	0	0.4	0.0	0.6	0.0	0.0	0.2	0.0	2.2
BdiBd21-3.1G0832900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0833900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4
BdiBd21-3.1G0853200	1	1	1	1	7.5	11.4	2.0	0.4	4.0	1.6	1.1	13.3
BdiBd21-3.1G0853700	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
BdiBd21-3.1G0857200	1	1	1	0	0.4	0.0	0.3	0.1	0.0	0.0	0.0	0.0
BdiBd21-3.1G0858200	1	1	0	0	0.0	0.4	0.3	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0858600	1	1	1	1	22.0	12.0	9.9	1.9	13.4	14.7	4.2	21.4
BdiBd21-3.1G0859400	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0859600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0860700	1	1	1	1	12.5	18.9	21.8	10.1	38.1	30.5	17.1	60.4
BdiBd21-3.1G0861700	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2
BdiBd21-3.1G0862500	1	1	0	0	0.0	0.4	0.3	0.4	0.0	2.1	0.4	1.4
BdiBd21-3.1G0864400	1	1	1	0	4.7	5.3	5.1	2.0	4.9	4.6	1.8	5.7
BdiBd21-3.1G0865500	1	1	0	0	1.2	2.9	2.3	1.2	3.2	6.2	0.7	2.8
BdiBd21-3.1G0866800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0871100	1	1	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0873000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0874200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0879200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0885000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0893700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0897100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0905700	1	1	1	0	0.4	0.0	0.3	0.9	0.0	0.0	1.2	3.8
BdiBd21-3.1G0907000	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0907200	1	1	0	0	0.4	5.5	0.0	0.0	7.3	0.3	0.1	0.8
BdiBd21-3.1G0909000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0912200	1	1	0	0	0.8	0.0	0.0	0.4	0.4	0.2	0.1	0.0
BdiBd21-3.1G0912700	1	1	0	0	0.4	1.0	1.1	0.0	0.8	0.2	0.1	1.4
BdiBd21-3.1G0914300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0915800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0918500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0924000	1	1	0	0	2.0	2.4	0.8	0.1	0.8	1.1	0.5	1.4
BdiBd21-3.1G0924700	1	1	1	0	2.4	1.6	2.0	1.1	1.2	0.9	1.3	4.2
BdiBd21-3.1G0924800	1	1	0	0	0.0	0.2	0.0	0.0	2.8	0.0	0.0	0.0
BdiBd21-3.1G0926700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0927300	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.2	0.1	0.2
BdiBd21-3.1G0931600	1	1	1	0	0.8	3.5	2.0	1.8	9.7	2.1	1.7	1.8
BdiBd21-3.1G0932400	1	1	1	1	29.0	11.8	9.6	1.6	2.8	13.1	1.2	10.3
BdiBd21-3.1G0933100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0933200	0	0	0	0								
BdiBd21-3.1G0933300	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.4
BdiBd21-3.1G0935500	1	1	1	0	2.7	3.7	3.1	0.4	0.8	1.4	1.3	8.7
BdiBd21-3.1G0937200	1	1	1	1	14.1	10.8	8.8	1.1	5.7	3.2	1.9	25.7
BdiBd21-3.1G0938700	1	1	1	0	1.6	0.2	0.3	0.1	0.0	0.0	0.5	2.0
BdiBd21-3.1G0942200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0942300	1	1	0	0	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.0
BdiBd21-3.1G0944500	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.0	0.2	1.6
BdiBd21-3.1G0953800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0954900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0958800	1	1	0	0	0.0	0.4	0.0	1.4	0.4	0.2	0.1	1.0
BdiBd21-3.1G0959600	1	1	1	1	6.7	9.0	10.7	3.7	2.8	13.8	7.5	41.2
BdiBd21-3.1G0965400	1	1	1	0	4.3	3.9	5.4	0.4	3.6	5.1	1.2	8.1
BdiBd21-3.1G0966300	1	1	1	1	18.0	6.7	16.9	24.2	6.5	14.9	26.1	40.8
BdiBd21-3.1G0967500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0967800	1	1	1	0	0.8	0.0	0.8	0.0	0.0	1.3	0.1	1.2
BdiBd21-3.1G0968400	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0970000	1	1	1	1	2.7	4.5	5.4	1.0	5.3	1.9	2.5	16.2
BdiBd21-3.1G0970600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0971800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0972200	1	1	1	1	1.2	0.4	0.0	0.0	0.0	0.0	0.2	18.8
BdiBd21-3.1G0973400	1	1	1	1	62.4	43.6	36.2	10.6	30.0	38.6	23.5	65.1
BdiBd21-3.1G0973600	1	1	0	0	0.0	1.6	0.3	0.0	1.2	3.0	0.1	0.6
BdiBd21-3.1G0973900	1	1	0	0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0
BdiBd21-3.1G0979000	1	1	0	0	0.0	0.2	0.3	0.1	0.0	0.0	0.0	0.2
BdiBd21-3.1G0979900	1	1	0	0	1.2	0.0	0.3	0.0	0.0	0.2	0.0	1.6
BdiBd21-3.1G0980300	1	1	1	1	66.3	28.7	2.3	0.0	0.0	0.2	0.1	0.4
BdiBd21-3.1G0980800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0980900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0981000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0981100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0981400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0983100	1	1	1	0	2.4	0.0	2.3	0.0	0.0	2.7	0.5	7.3
BdiBd21-3.1G0983500	0	0	0	0								
BdiBd21-3.1G0983800	1	1	0	0	0.4	0.4	0.0	0.1	0.0	2.1	0.0	1.4
BdiBd21-3.1G0986100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0990300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0993900	1	1	1	0	3.1	1.4	1.1	0.0	0.8	0.5	0.2	0.6
BdiBd21-3.1G0994900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1000400	1	1	1	1	11.8	4.3	3.1	0.7	2.4	1.6	0.8	6.1
BdiBd21-3.1G1001900	1	1	1	0	3.5	1.0	1.1	0.0	0.4	0.9	0.5	2.4
BdiBd21-3.1G1002300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1003300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1003400	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1003500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1003600	1	1	1	0	2.7	2.0	0.8	0.9	1.6	1.3	0.8	3.4
BdiBd21-3.1G1007500	1	1	1	0	1.6	1.6	1.4	0.0	0.4	0.6	0.1	4.0
BdiBd21-3.1G1009500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1014600	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.5	0.1	0.0
BdiBd21-3.1G1016700	1	1	0	0	0.0	0.0	0.8	0.1	0.0	0.2	0.2	1.0
BdiBd21-3.1G1018500	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2
BdiBd21-3.1G1020000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1022700	1	1	1	1	2.7	6.5	1.1	0.7	2.8	9.7	1.9	17.0
BdiBd21-3.1G1023300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1025500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1025900	1	1	0	0	0.0	0.0	0.0	0.0	2.8	0.6	0.0	0.0
BdiBd21-3.1G1026600	1	1	1	0	3.9	2.2	0.8	2.4	3.2	0.6	1.2	1.8
BdiBd21-3.1G1027100	1	1	0	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.2
BdiBd21-3.1G1027900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8
BdiBd21-3.1G1028200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
BdiBd21-3.1G1029200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1034700	1	1	1	0	0.0	0.0	0.0	0.3	0.0	1.7	0.1	1.0
BdiBd21-3.1G1043200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G1047200	1	1	1	0	0.4	0.0	0.0	0.0	0.0	0.0	0.1	3.6
BdiBd21-3.2G0000100	1	1	0	0	0.8	0.2	0.3	0.2	0.0	0.3	0.1	0.6
BdiBd21-3.2G0000500	1	1	1	1	18.4	28.5	28.0	7.5	32.0	19.9	12.2	34.3
BdiBd21-3.2G0002000	1	1	0	0	0.0	0.4	2.0	1.5	0.0	0.0	3.2	9.1
BdiBd21-3.2G0006900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
