label;cluster;TF;alias;celltype;isTF_DE;totRegInCluster;X.TGs;qval_cluster;out.degree;closeness;betweenness;med_coexpr;TF_qval;borda_rank;borda_clusterRank
Late GCs;5_Cluster_5;BdiBd21-3.1G0039500;BdiBd21-3.1G0039500;5;1;79;294;3.631719999999998e-69;0.7;0.029783004102408518;1.6955520425152742e-4;0.4254690249269893;4.1443712617546e-7;196;19
Late GCs;5_Cluster_5;BdiBd21-3.4G0407700;BdiBd21-3.4G0407700;5;0;79;263;1.9071899999999998e-60;0.6261904761904762;0.026404911025236268;9.850062504817466e-5;0.16684607967069714;NA;838;56
Late GCs;5_Cluster_5;BdiBd21-3.5G0205000;BdiBd21-3.5G0205000;5;0;79;277;1.96374e-30;0.6595238095238095;0.02794616684499125;3.409546089617709e-4;0.23593016882735096;NA;520;40
Late GCs;5_Cluster_5;BdiBd21-3.5G0064300;BdiBd21-3.5G0064300;5;1;79;319;1.35397e-75;0.7595238095238095;1.1704201680672268;1.003695603937677;0.8842495615055971;2.6520398221909596e-69;34;2
Late GCs;5_Cluster_5;BdiBd21-3.4G0330400;BdiBd21-3.4G0330400;5;0;79;273;3.686869999999999e-50;0.65;0.027110170400910318;1.554023428690377e-4;0.14318873218107514;NA;801;57
Late GCs;5_Cluster_5;BdiBd21-3.1G0049600;BdiBd21-3.1G0049600;5;0;79;262;1.1352199999999999e-45;0.6238095238095238;0.02876997675198645;2.2686461270224258e-4;0.18147195779197192;NA;573;46
Late GCs;5_Cluster_5;BdiBd21-3.2G0486500;BdiBd21-3.2G0486500;5;0;79;255;1.7740599999999994e-43;0.6071428571428571;0;0;0.19635616944844012;NA;1242;77
Late GCs;5_Cluster_5;BdiBd21-3.1G0714400;BdiBd21-3.1G0714400;5;0;79;291;5.5611899999999995e-32;0.6928571428571428;0;0;0.3904625779965664;NA;913;65
Late GCs;5_Cluster_5;BdiBd21-3.5G0296400;BdiBd21-3.5G0296400;5;1;79;281;7.16831e-42;0.669047619047619;0.028835363062786425;2.4348882540370162e-4;0.2518839473209695;0.0014086195974097801;332;31
Late GCs;5_Cluster_5;BdiBd21-3.3G0415700;BdiBd21-3.3G0415700;5;1;79;335;1.5398599999999994e-115;0.7976190476190477;0;0;3.0376136878952402;3.547047100484468e-76;45;4
Late GCs;5_Cluster_5;BdiBd21-3.4G0022900;BdiBd21-3.4G0022900;5;1;79;310;3.00584e-45;0.7380952380952381;0.02832044586523667;3.041867595620659e-4;0.6184136263210143;3.19255449612771e-5;195;18
Late GCs;5_Cluster_5;BdiBd21-3.5G0271500;BdiBd21-3.5G0271500;5;1;79;314;2.0556299999999996e-72;0.7476190476190476;1.1684385382059799;1.0032717733075731;1.2789179870376532;1.4645233353410792e-83;33;3
Late GCs;5_Cluster_5;BdiBd21-3.2G0276700;BdiBd21-3.2G0276700;5;1;79;301;3.01598e-50;0.7166666666666667;1.1684385382059799;1.0033621380135191;0.4283427186555587;2.3998509936264597e-20;96;12
Late GCs;5_Cluster_5;BdiBd21-3.2G0300000;BdiBd21-3.2G0300000;5;1;79;290;7.156039999999995e-112;0.6904761904761905;0;0;1.2264881373908985;1.0731866262589393e-62;113;14
Late GCs;5_Cluster_5;BdiBd21-3.1G0487000;BdiBd21-3.1G0487000;5;1;79;314;1.4148499999999992e-92;0.7476190476190476;0;0;0.5908200956330374;4.0827721673467e-23;209;17
Late GCs;5_Cluster_5;BdiBd21-3.3G0767500;BdiBd21-3.3G0767500;5;0;79;296;3.17547e-32;0.7047619047619048;0;0;0.4621171727221457;NA;840;58
Late GCs;5_Cluster_5;BdiBd21-3.5G0229100;BdiBd21-3.5G0229100;5;0;79;302;5.22438e-48;0.7190476190476189;0.02779312102437246;1.838702973272916e-4;0.495426437071961;NA;367;30
Late GCs;5_Cluster_5;BdiBd21-3.1G0823500;BdiBd21-3.1G0823500;5;0;79;259;9.02822e-34;0.6166666666666667;0;0;0.18414987819106887;NA;1280;79
Late GCs;5_Cluster_5;BdiBd21-3.3G0467400;BdiBd21-3.3G0467400;5;1;79;288;1.14279e-58;0.6857142857142857;0;0;0.21717545597019414;3.29226288213179e-4;702;54
Late GCs;5_Cluster_5;BdiBd21-3.2G0488600;BdiBd21-3.2G0488600;5;0;79;293;4.0753099999999996e-46;0.6976190476190476;0;0;0.26353697219982586;NA;892;62
Late GCs;5_Cluster_5;BdiBd21-3.2G0729700;BdiBd21-3.2G0729700;5;0;79;299;1.19879e-48;0.7119047619047619;0;0;0.4475212596073879;NA;732;50
Late GCs;5_Cluster_5;BdiBd21-3.3G0248900;BdiBd21-3.3G0248900;5;0;79;276;2.13004e-46;0.6571428571428571;0.02794616684499125;1.8297115896793003e-4;0.4272063913013351;NA;513;41
Late GCs;5_Cluster_5;BdiBd21-3.2G0681500;BdiBd21-3.2G0681500;5;0;79;280;3.475049999999999e-49;0.6666666666666666;0;0;0.3097761868134727;NA;974;64
Late GCs;5_Cluster_5;BdiBd21-3.3G0530700;BdiBd21-3.3G0530700;5;0;79;257;1.0447399999999998e-45;0.6119047619047621;0;0;0.10136293079820953;NA;1298;78
Late GCs;5_Cluster_5;BdiBd21-3.2G0322400;BdiBd21-3.2G0322400;5;0;79;286;7.170329999999998e-68;0.6809523809523811;0;0;0.43421447899541776;NA;690;49
Late GCs;5_Cluster_5;BdiBd21-3.3G0487100;BdiBd21-3.3G0487100;5;1;79;310;4.2840999999999995e-111;0.7380952380952381;0;0;1.1755407350820548;3.80196311315219e-44;112;13
Late GCs;5_Cluster_5;BdiBd21-3.3G0257300;BdiBd21-3.3G0257300;5;1;79;292;4.088899999999998e-68;0.6952380952380952;1.1810714285714283;1.0033190189361345;0.6880698227685601;3.0802717723404997e-19;71;6
Early GCs;6_Cluster_6;BdiBd21-3.2G0300000;BdiBd21-3.2G0300000;6;1;112;326;7.209599999999995e-144;0.7477064220183486;0;0;7.84606127849509;1.6198303587932386e-225;12;2
Early GCs;6_Cluster_6;BdiBd21-3.4G0577600;BdiBd21-3.4G0577600;6;0;112;272;4.57943e-38;0.6238532110091743;0.02913331744575437;2.426876745875896e-4;0.22188879671541994;NA;511;49
Early GCs;6_Cluster_6;BdiBd21-3.2G0113100;BdiBd21-3.2G0113100;6;1;112;290;1.26622e-53;0.6651376146788991;0.02844744338032741;1.891894958853233e-4;0.42712544712984063;1.73966793332315e-10;301;28
