"gene";"cluster";"celltype";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"BdiBd21-3.1G0848700";"10";"Unknown 2";7.13389950264051e-13;-0.548438540495715;0.486;0.204;2.78707185769159e-08
"BdiBd21-3.2G0436100";"10";"Unknown 2";7.1461534921662e-13;-0.226948148752286;0.365;0.138;2.79185924631949e-08
"BdiBd21-3.3G0169800";"10";"Unknown 2";7.16546394319043e-13;-0.27546561292621;0.718;0.322;2.79940345332564e-08
"BdiBd21-3.1G0177400";"10";"Unknown 2";7.25426220629146e-13;-0.313069617567585;0.68;0.291;2.83409515875395e-08
"BdiBd21-3.3G0789600";"10";"Unknown 2";7.34563222779762e-13;0.461473857412959;0.923;0.561;2.86979159875597e-08
"BdiBd21-3.2G0294200";"10";"Unknown 2";7.4647591975691e-13;-0.995946923736825;0.425;0.164;2.9163321233063e-08
"BdiBd21-3.5G0144400";"10";"Unknown 2";7.47592076731772e-13;-0.66102617786113;0.326;0.117;2.92069272537568e-08
"BdiBd21-3.3G0019800";"10";"Unknown 2";7.54820725834445e-13;-0.535201920618776;0.392;0.151;2.94893361169001e-08
"BdiBd21-3.4G0510700";"10";"Unknown 2";7.60756084969977e-13;-0.642703262990005;0.287;0.106;2.9721218727607e-08
"BdiBd21-3.1G0147000";"10";"Unknown 2";7.68843226446761e-13;-0.569109797164513;0.525;0.214;3.0037167170822e-08
"BdiBd21-3.1G0115900";"10";"Unknown 2";7.6944752484086e-13;-0.588330782539457;0.602;0.257;3.00607759004827e-08
"BdiBd21-3.3G0509600";"10";"Unknown 2";7.76127811394888e-13;-0.664558765857119;0.354;0.131;3.03217613355755e-08
"BdiBd21-3.2G0446900";"10";"Unknown 2";7.78736627251511e-13;-0.247989323253091;0.309;0.109;3.0423682553462e-08
"BdiBd21-3.1G1040000";"10";"Unknown 2";7.80427330208217e-13;-0.16359222238286;0.552;0.235;3.04897349365746e-08
"BdiBd21-3.2G0477000";"10";"Unknown 2";7.83099950317366e-13;-0.520783091569213;0.558;0.232;3.05941488589989e-08
"BdiBd21-3.3G0011100";"10";"Unknown 2";7.96211233811146e-13;-0.750138598129954;0.442;0.172;3.11063804825338e-08
"BdiBd21-3.2G0132300";"10";"Unknown 2";7.99940710485656e-13;-0.112401617883262;0.293;0.115;3.12520836772536e-08
"BdiBd21-3.1G1011300";"10";"Unknown 2";8.28469426792807e-13;-0.47631024973818;0.403;0.157;3.23666435659414e-08
"BdiBd21-3.5G0064300";"10";"Unknown 2";8.3674224149366e-13;-0.135071626407146;0.856;0.426;3.26898458906743e-08
"BdiBd21-3.5G0099000";"10";"Unknown 2";8.46196874624033e-13;0.140791743756488;0.834;0.403;3.30592194978117e-08
"BdiBd21-3.2G0346600";"10";"Unknown 2";8.4893561634802e-13;0.211458366307768;0.519;0.232;3.31662166594844e-08
"BdiBd21-3.1G0368601";"10";"Unknown 2";8.65857155452877e-13;-0.575813441566049;0.26;0.085;3.3827307349233e-08
"BdiBd21-3.1G0587600";"10";"Unknown 2";8.85600501639755e-13;-0.523887250399568;0.32;0.115;3.45986403980619e-08
"BdiBd21-3.5G0310600";"10";"Unknown 2";8.98848235277054e-13;-0.122834944266018;0.691;0.306;3.51162028558039e-08
"BdiBd21-3.4G0412400";"10";"Unknown 2";9.0060413006843e-13;-0.165721425075515;0.746;0.325;3.51848021535134e-08
"BdiBd21-3.1G0479700";"10";"Unknown 2";9.09075461675929e-13;0.17403843143439;0.873;0.451;3.55157601367552e-08
"BdiBd21-3.2G0630400";"10";"Unknown 2";9.09229047160674e-13;0.342327000765858;0.956;0.616;3.55217604144732e-08
"BdiBd21-3.3G0495400";"10";"Unknown 2";9.18502734673969e-13;-0.610165534264098;0.365;0.136;3.58840648382426e-08
"BdiBd21-3.3G0540900";"10";"Unknown 2";9.37923482981653e-13;-0.539657126308381;0.37;0.14;3.66427946331272e-08
"BdiBd21-3.1G0861000";"10";"Unknown 2";9.48176241178275e-13;-0.35227335818889;0.464;0.186;3.70433493903528e-08
