p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.1G0553100	5.77745513609608e-163	2.0036365359615	0.533	0.081	2.25713617257002e-158	0	BdiBd21-3.1G0553100
BdiBd21-3.1G0615600	8.21938752982044e-163	1.58923540217426	0.994	0.704	3.21115032015025e-158	0	BdiBd21-3.1G0615600
BdiBd21-3.5G0186800	2.42434688901139e-162	2.07492520901909	0.703	0.165	9.47143842598968e-158	0	BdiBd21-3.5G0186800
BdiBd21-3.3G0706700	2.5603192726319e-162	1.45677835215483	0.996	0.804	1.00026553343183e-157	0	BdiBd21-3.3G0706700
BdiBd21-3.1G0565800	9.2456210461256e-162	2.27247551921367	0.41	0.044	3.61207923030035e-157	0	BdiBd21-3.1G0565800
BdiBd21-3.1G0270300	1.90080309712506e-161	2.06712425504149	0.485	0.066	7.42605753984817e-157	0	BdiBd21-3.1G0270300
BdiBd21-3.1G0282500	2.87946229704286e-161	1.50258225314521	0.992	0.773	1.1249483302087e-156	0	BdiBd21-3.1G0282500
BdiBd21-3.1G0878200	3.14919271636473e-161	1.72688114541311	0.976	0.642	1.23032661042937e-156	0	BdiBd21-3.1G0878200
BdiBd21-3.4G0343600	4.95015370550392e-161	2.15039409947796	0.479	0.064	1.93392604966627e-156	0	BdiBd21-3.4G0343600
BdiBd21-3.2G0790800	9.06896434911424e-161	1.42341152525686	0.99	0.786	3.54306299191195e-156	0	BdiBd21-3.2G0790800
BdiBd21-3.3G0730400	1.77223126961252e-160	1.86528199952113	0.974	0.56	6.92375312412221e-156	0	BdiBd21-3.3G0730400
BdiBd21-3.1G1010400	4.17794516618399e-160	1.85163745055948	0.566	0.093	1.63223961752476e-155	0	BdiBd21-3.1G1010400
BdiBd21-3.3G0576200	4.24569591755552e-160	1.68757010973635	0.984	0.723	1.65870848107059e-155	0	BdiBd21-3.3G0576200
BdiBd21-3.3G0362600	4.51891012287145e-160	2.29443219910227	0.422	0.048	1.76544780680342e-155	0	BdiBd21-3.3G0362600
BdiBd21-3.4G0365900	5.06252955568378e-160	1.51826126602125	0.994	0.739	1.97782904681454e-155	0	BdiBd21-3.4G0365900
